Name,Street,Postal code,City,Country
Jasleen Bates,Purnukuja 1,02130,Espoo,FI

Jaylan Reed,Keskuskatu  46,76100,Pieksämäki,FI

Jemimah Webber,VIISSEINÄNEN 2,90460,Oulu,FI

Jolene Gray,MÄKELÄNKATU 5,00550,Helsinki,FI

Jovan Odom,Kirkkokatu 1,90100,Oulu,FI

Katarina Estes,Sunanlaakso 2,02760,Espoo,FI

Keanu Oneal,Nuppukehä 15,13330,Janakkala,FI

Keiron Joyce,MUOLAANTIE 9,31600,Jokioinen,FI

Kevin Lamb,Lammentie 2,08700,Lohja,FI

King Reilly,PALLASTUNTURINTIE 1,01280,Vantaa,FI

Koa Currie,SALMINTIE 109,49490,Hamina,FI

Kynan Drake,Kanavatie 7,37500,LEMPÄÄLÄ,FI

Lacie-Mae Smart,TÄHKÄTIE 3,00390,Helsinki,FI

Lennon Blake,SUNDSGATAN 13,65200,Vaasa,FI

Leroy Lee,STATION ROAD,LL31 9FA,DEGANWY,FI

Liya Thorpe,ALEKSIS KIVENKATU 48,00510,Helsinki,FI

Luis Mcdermott,KUNINKAANTAMMENKIERTO 12,00430,Helsinki,FI

Macie Huffman,Liinakonkatu 9,33580,Tampere,FI

Madelaine Henson,Kalevantie 17,20520,Turku,FI

Musab Webb,MANTELIKUJA 3',01710,Vantaa,FI

Mylie Povey,KUURATIE 5,33400,Tampere,FI

Nahla Hawkins,PURJETIE 7,00960,Helsinki,FI

Nathalie Rayner,RASINKATU 14,01360,Vantaa,FI

Noel Hoffman,PYHÄNIEMENTIE 211,16730,Hollola,FI

Pablo Haney,SUOJUOKSUNTIE 6,90670,Oulu,FI

Pascal Summers,MAAHERRANTIE 8,00710,Helsinki,FI

Pheobe Cano,Siltakatu 11,18100,Heinola,FI

Phillippa Bishop,Slussgatan 12,64260,Närpiö,FI

Preston King,Kruununvuorenkatu 5,00160,Helsinki,FI

Reilly Cunningham,EDIKSENTIE 2,02460,Kirkkonummi,FI

Rivka Doherty,RYPÄLEKUJA 6,02710,Espoo,FI

Roy Senior,IISAKINTIE 49,64700,Teuva,FI

Ruari O'Brien,KUMPURANTIE 18,05200,Nurmijärvi,FI

Saad Blaese,Viikatlahdentie 94,56440,Ruokolahti,FI

Sabah Coleman,Kalsintie 5,34110,Ylöjärvi,FI

Saffron Price,Lukkarinojantie 18,2740,Espoo,FI

Salim Bernal,Talviniityntie 51,21420,Lieto,FI

Sean Mcdougall,VIRNAKUJA 3,21200,Raisio,FI

Shabaz Forster,ONNENVUORENTIE 60,16900,Hämeenlinna,FI

Sienna Tang,KOULUKUJA 1,96500,Rovaniemi,FI

Syeda Carrillo,SATAKUNNANKATU 19,33210,Tampere,FI

Tahmid Adam,Vuorikatu 20,00100,Helsinki,FI

Tania Berger,TULIHARJUNTIE 61,43700,Kyyjärvi,FI

Tobi Barnett,UITTOTUNNELINKATU 7,33250,Tampere,FI

Toby Rennie,VERHIÖNPOLKU 4,70280,Kuopio,FI

Traci Kline,ALEKSANTERINKATU 29,06100,Porvoo,FI

Umaiza French,Kaivokatu 8, 00100, HELSINKI,FI

Una Amin,Holmankorpi 3,02210,Espoo,FI

Zahara Mac,ILTAPÄIVÄNKUJA 6,02210,Espoo,FI

Zakir Watkins,Pyynikintie 3,33200,Tampere,FI

Zayne Stevenson,Petsamontie 39,99800,Inari,FI
